"contact_id","days_since_last_purchase","order_num","total_sales","product_num","active_days"
"16491027",363,1,29.95,1,0
"32026080",82,7,284.45,5,281
"18715070",357,2,40.9,2,6
"39703024",363,1,139.95,1,0
"13326097",363,1,143.95,1,0
"29519567",17,14,487.97,21,346
"48104464",363,1,17.95,1,0
"38554501",363,1,111.9,1,0
"40243554",363,1,79.95,1,0
"46643414",363,1,18.95,1,0
"45370881",363,1,35.95,1,0
"49673307",316,2,309.9,2,47
"28842510",363,1,68.35,1,0
"46383452",363,1,31.95,1,0
"45227196",363,1,137.95,2,0
"9396064",363,1,114.95,1,0
"23845983",363,1,27.9,1,0
"14476849",363,1,25.08,1,0
"15552914",363,1,29.9,1,0
"39237750",363,1,37.9,2,0
"12914716",171,3,289.75,3,192
"4816766",3,112,6170.22,35,360
"34059935",4,2,1138.95,3,359
"36342264",363,1,119.95,1,0
"2893307",363,1,65.95,1,0
"22658331",363,1,218.71,2,0
"46080515",363,1,39.95,1,0
"17295442",158,3,371.75,4,205
"25782812",363,1,62.86,1,0
"44545760",363,1,24.95,1,0
"10344659",363,1,42.95,1,0
"13146413",128,5,253.79,7,235
"16599384",363,1,27.97,1,0
"44744802",363,1,166.85,3,0
"29793982",363,1,246.46,1,0
"17059858",134,3,116.85,3,229
"37021711",363,1,45.95,1,0
"45486419",363,1,196.85,2,0
"44662127",363,1,24.95,1,0
"46455218",363,1,29.95,1,0
"3607112",193,2,114.9,2,170
"38843802",363,1,31.95,1,0
"20215138",363,1,139.95,1,0
"40295865",27,7,1425.2,8,336
"9585473",363,1,149.85,2,0
"27029177",363,1,33.95,1,0
"49614264",363,1,29.96,1,0
"17902954",363,1,84.95,1,0
"37565894",363,1,197.55,1,0
"49850150",363,1,57.95,1,0
"4241605",363,1,93.95,1,0
"28318204",363,1,33.2,1,0
"21741957",16,10,950.5,10,347
"27401349",363,1,72.95,1,0
"36096347",363,1,153.95,1,0
"21175518",363,1,43.95,1,0
"14161956",363,1,132.8,1,0
"23913008",15,4,665.75,3,348
"12057988",363,1,119.95,1,0
"46001412",74,2,288.05,4,289
"16068790",363,1,29.56,1,0
"34449978",168,4,228.48,7,195
"31462095",363,1,119.95,1,0
"9092292",218,9,1366.21,25,145
"30153819",363,1,31.95,1,0
"4070352",363,1,129.95,1,0
"16575222",234,2,191.63,3,129
"24174414",363,1,31.95,1,0
"29753635",251,7,204.79,9,112
"49642967",339,2,18.9,2,24
"33407628",363,1,34.97,1,0
"30880185",363,1,39.6,1,0
"10717113",1,120,4138.51,2,362
"37633014",363,1,43.9,1,0
"18286269",363,1,74.95,1,0
"42810320",363,1,199.9,2,0
"21104225",363,1,73.95,1,0
"915693",363,1,19.9,1,0
"7440657",363,1,39.95,1,0
"39056523",107,2,127.7,2,256
"3544093",17,7,513.76,7,346
"4248242",363,1,24.99,1,0
"12100739",363,1,204.9,2,0
"47059710",28,2,209.9,2,335
"10062187",363,1,384.95,1,0
"31368095",363,1,79.96,1,0
"12847398",363,1,99.95,1,0
"17312227",89,4,130.75,5,274
"46630388",5,2,447.7,3,358
"15877953",363,1,249.95,1,0
"29076269",363,1,9.05,1,0
"40086175",363,1,44.95,1,0
"39366347",363,1,28.95,1,0
"9755876",363,1,29.95,1,0
"11060606",363,1,10.95,1,0
"36039961",363,1,239.85,2,0
"45758688",363,1,176.9,2,0
"29399574",363,1,67.9,1,0
"45796197",341,2,69.75,2,22
"23878943",363,1,8.95,1,0
"48838016",87,2,64.9,2,276
"4568325",363,1,44.95,1,0
"44567589",363,1,19.39,1,0
"24738983",363,1,32.95,1,0
"5748266",363,1,59.9,2,0
"42951773",363,1,32.95,1,0
"48251949",363,1,39.95,1,0
"19920149",166,2,43.9,2,197
"28904246",48,6,537.2,7,315
"8125477",363,1,24.95,1,0
"21006853",214,2,44.9,2,149
"39425832",363,1,19.95,1,0
"5286973",125,2,64.9,2,238
"48972787",363,1,108.83,2,0
"38977238",180,6,113.7,5,183
"45869688",363,1,368.61,1,0
"8865655",28,3,224.7,6,335
"39010545",363,1,69.95,1,0
"15596963",161,3,169.85,1,202
"38998728",363,1,109.95,1,0
"1795055",70,17,1741.01,17,293
"41974035",363,1,32.95,1,0
"28767148",100,8,223.47,7,263
"37333595",343,2,36.76,3,20
"22550063",363,1,37.95,1,0
"37674283",363,1,18.95,1,0
"32237970",363,1,38.95,1,0
"5840592",278,2,34.9,1,85
"10015979",363,1,54.95,1,0
"39547713",363,1,72.95,1,0
"32577729",90,4,546.85,4,273
"45220958",363,1,129.9,3,0
"46973000",363,1,119.95,1,0
"22701038",363,1,46.95,1,0
"33045167",201,2,54.85,2,162
"38936466",4,498,24563.39,80,359
"42512440",363,1,75.96,1,0
"33529805",363,1,79.51,3,0
"1376620",363,1,109.95,1,0
"29127848",363,1,49.95,1,0
"5428899",363,1,87.85,2,0
"5749796",148,2,59.56,3,215
"13550644",363,1,175.95,1,0
"14298961",363,1,29.9,1,0
"33193315",8,232,8881.25,49,355
"47178577",363,1,14.95,1,0
"742746",47,11,875.35,21,316
"44119647",363,1,59.95,1,0
"31387942",363,1,90.97,1,0
"9404754",299,2,199.9,2,64
"1897833",363,1,230.85,2,0
"42269439",363,1,77.95,1,0
"28205712",40,6,418.01,8,323
"10403150",184,4,243.65,6,179
"34702444",363,1,99.9,1,0
"47731282",5,3,63.85,2,358
"46677423",363,1,29.95,1,0
"23997303",363,1,28.95,1,0
"30666161",363,1,24.95,1,0
"18001125",268,2,314.9,2,95
"3410376",363,1,31.95,1,0
"35877351",363,1,14.95,1,0
"21707920",363,1,65.95,1,0
"49436804",363,1,39.95,1,0
"16861067",363,1,137.9,2,0
"39459251",363,1,159.92,1,0
"47506253",363,1,21.95,1,0
"36544655",20,2,56.9,2,343
"12626850",363,1,114.95,1,0
"4918688",11,6,206.75,8,352
"18159450",363,1,33.9,1,0
"33400610",363,1,29.95,1,0
"46025998",363,1,49.9,1,0
"41237462",363,1,49.95,1,0
"2299220",143,2,44.9,2,220
"17173379",363,1,54.95,1,0
"29604240",363,1,44.92,1,0
"45511690",363,1,23.96,1,0
"19142795",363,1,99.95,1,0
"10061932",363,1,37.95,1,0
"42241836",363,1,56.9,2,0
"2866960",363,1,14.95,1,0
"42433238",363,1,89.95,1,0
"18965420",341,2,99.9,2,22
"39996032",363,1,18.95,1,0
"27128089",139,4,223.25,5,224
"43506914",363,1,29.95,1,0
"24490852",363,1,18.95,1,0
"40193230",363,1,119.9,2,0
"27249987",363,1,219.96,1,0
"24826642",363,1,97.95,1,0
"2156657",363,1,87.85,2,0
"8915585",363,1,266,1,0
"235861",363,1,67.96,1,0
"23383066",363,1,44.85,3,0
"35370425",363,1,105.95,1,0
"25904375",363,1,69.95,1,0
"33612260",193,3,110.65,4,170
"30785591",363,1,29.95,1,0
"26802781",363,1,149.95,1,0
"10400400",363,1,76.97,1,0
"16906206",363,1,209.95,1,0
"29399807",363,1,166.95,1,0
"25590037",357,2,169.9,2,6
"41546333",363,1,18.95,1,0
"773816",363,1,219.96,1,0
"29098300",321,3,67.17,3,42
"1090017",284,3,154.85,3,79
"40453309",363,1,48.95,1,0
"17966160",251,3,249.04,11,112
"30809353",363,1,37.9,1,0
"16275679",359,2,46.9,2,4
"4838060",363,1,98.85,1,0
"34528404",363,1,134.95,1,0
"39124678",363,1,78.95,1,0
"36465842",363,1,31.95,1,0
"43773811",363,1,43.95,1,0
"6293504",363,1,66.95,1,0
"2499375",363,1,65.9,2,0
"49073571",34,2,49.9,2,329
"47437096",363,1,84.75,1,0
"33016020",363,1,65.95,1,0
"10388093",146,2,177.92,2,217
"4399659",363,1,422.49,1,0
"35059472",357,2,38.89,3,6
"28981174",363,1,49.95,1,0
"13741292",363,1,27.99,1,0
"15563676",240,2,39.9,2,123
"42774929",363,1,15.9,1,0
"31126081",363,1,617.22,1,0
"3332997",363,1,209.95,1,0
"42713126",363,1,34.95,1,0
"48428292",363,1,89.75,1,0
"24733022",363,1,14.95,1,0
"22745395",363,1,29.95,1,0
"39575420",363,1,19.95,1,0
"8068669",330,2,27.9,2,33
"45677093",363,1,27.99,1,0
"3173424",363,1,18.95,1,0
"28391515",106,48,1006.46,73,257
"16442826",350,2,85.9,2,13
"6858231",344,2,173.8,3,19
"46225704",363,1,97.9,1,0
"42368094",363,1,47.96,1,0
"38088889",127,5,413.22,6,236
"21104556",363,1,31.95,1,0
"32732587",363,1,14.95,1,0
"48823747",363,1,71.8,1,0
"22435769",55,2,24.9,2,308
"19266872",363,1,17.95,1,0
"42292077",363,1,245.9,3,0
"6416608",15,2,62.41,3,348
"32143332",363,1,161.14,1,0
"28380409",363,1,109.95,1,0
"40107268",363,1,99.95,1,0
"11051679",363,1,594.67,1,0
"47463346",363,1,79.95,1,0
"40716205",363,1,77.95,1,0
"8151103",363,1,229.95,1,0
"26221743",363,1,34.8,1,0
"32855003",363,1,119.24,1,0
"6019892",363,1,369.08,2,0
"18936994",363,1,59.95,1,0
"26460224",363,1,46.95,1,0
"33469871",110,4,164.74,4,253
"9582220",363,1,579.96,2,0
"209593",363,1,31.9,1,0
"564727",363,1,59.95,1,0
"114657",363,1,399.95,1,0
"12316343",363,1,18.95,1,0
"1497169",363,1,65.95,1,0
"36330268",202,2,279.42,3,161
"20960355",363,1,234.62,2,0
"14109894",65,4,381.85,3,298
"39042383",363,1,24.95,1,0
"9038788",306,2,311.93,2,57
"43365871",363,1,89.88,1,0
"37918409",363,1,59.95,1,0
"36666845",363,1,55.85,3,0
"5025194",106,41,2286.82,37,257
"6775448",237,3,190.8,4,126
